"Probabilidad" "Replicas" "Max_Infectados" "Porcentaje"
"1" 0 1 20 50
"2" 0 2 0 0
"3" 0 3 25 62.5
"4" 0 4 0 0
"5" 0 5 0 0
"6" 0 6 21 52.5
"7" 0 7 26 65
"8" 0 8 29 72.5
"9" 0 9 24 60
"10" 0 10 25 62.5
"11" 0 11 25 62.5
"12" 0 12 31 77.5
"13" 0 13 0 0
"14" 0 14 27 67.5
"15" 0 15 27 67.5
"16" 0.1 1 24 60
"17" 0.1 2 27 67.5
"18" 0.1 3 0 0
"19" 0.1 4 21 52.5
"20" 0.1 5 25 62.5
"21" 0.1 6 25 62.5
"22" 0.1 7 20 50
"23" 0.1 8 20 50
"24" 0.1 9 0 0
"25" 0.1 10 0 0
"26" 0.1 11 2 5
"27" 0.1 12 22 55
"28" 0.1 13 0 0
"29" 0.1 14 18 45
"30" 0.1 15 23 57.5
"31" 0.2 1 23 57.5
"32" 0.2 2 16 40
"33" 0.2 3 1 2.5
"34" 0.2 4 0 0
"35" 0.2 5 21 52.5
"36" 0.2 6 1 2.5
"37" 0.2 7 23 57.5
"38" 0.2 8 15 37.5
"39" 0.2 9 15 37.5
"40" 0.2 10 22 55
"41" 0.2 11 26 65
"42" 0.2 12 22 55
"43" 0.2 13 19 47.5
"44" 0.2 14 25 62.5
"45" 0.2 15 19 47.5
"46" 0.3 1 20 50
"47" 0.3 2 22 55
"48" 0.3 3 16 40
"49" 0.3 4 16 40
"50" 0.3 5 18 45
"51" 0.3 6 14 35
"52" 0.3 7 15 37.5
"53" 0.3 8 22 55
"54" 0.3 9 1 2.5
"55" 0.3 10 15 37.5
"56" 0.3 11 21 52.5
"57" 0.3 12 9 22.5
"58" 0.3 13 0 0
"59" 0.3 14 0 0
"60" 0.3 15 0 0
"61" 0.4 1 13 32.5
"62" 0.4 2 15 37.5
"63" 0.4 3 19 47.5
"64" 0.4 4 17 42.5
"65" 0.4 5 16 40
"66" 0.4 6 0 0
"67" 0.4 7 0 0
"68" 0.4 8 9 22.5
"69" 0.4 9 1 2.5
"70" 0.4 10 14 35
"71" 0.4 11 0 0
"72" 0.4 12 19 47.5
"73" 0.4 13 15 37.5
"74" 0.4 14 14 35
"75" 0.4 15 0 0
"76" 0.5 1 1 2.5
"77" 0.5 2 0 0
"78" 0.5 3 15 37.5
"79" 0.5 4 0 0
"80" 0.5 5 0 0
"81" 0.5 6 2 5
"82" 0.5 7 0 0
"83" 0.5 8 0 0
"84" 0.5 9 14 35
"85" 0.5 10 5 12.5
"86" 0.5 11 11 27.5
"87" 0.5 12 11 27.5
"88" 0.5 13 0 0
"89" 0.5 14 1 2.5
"90" 0.5 15 14 35
"91" 0.6 1 0 0
"92" 0.6 2 0 0
"93" 0.6 3 0 0
"94" 0.6 4 0 0
"95" 0.6 5 0 0
"96" 0.6 6 7 17.5
"97" 0.6 7 9 22.5
"98" 0.6 8 6 15
"99" 0.6 9 8 20
"100" 0.6 10 0 0
"101" 0.6 11 0 0
"102" 0.6 12 1 2.5
"103" 0.6 13 0 0
"104" 0.6 14 5 12.5
"105" 0.6 15 10 25
"106" 0.7 1 2 5
"107" 0.7 2 0 0
"108" 0.7 3 4 10
"109" 0.7 4 0 0
"110" 0.7 5 0 0
"111" 0.7 6 5 12.5
"112" 0.7 7 0 0
"113" 0.7 8 0 0
"114" 0.7 9 3 7.5
"115" 0.7 10 0 0
"116" 0.7 11 7 17.5
"117" 0.7 12 0 0
"118" 0.7 13 0 0
"119" 0.7 14 5 12.5
"120" 0.7 15 0 0
"121" 0.8 1 0 0
"122" 0.8 2 0 0
"123" 0.8 3 0 0
"124" 0.8 4 2 5
"125" 0.8 5 0 0
"126" 0.8 6 0 0
"127" 0.8 7 0 0
"128" 0.8 8 0 0
"129" 0.8 9 0 0
"130" 0.8 10 6 15
"131" 0.8 11 0 0
"132" 0.8 12 0 0
"133" 0.8 13 3 7.5
"134" 0.8 14 5 12.5
"135" 0.8 15 0 0
"136" 0.9 1 0 0
"137" 0.9 2 0 0
"138" 0.9 3 0 0
"139" 0.9 4 0 0
"140" 0.9 5 0 0
"141" 0.9 6 0 0
"142" 0.9 7 4 10
"143" 0.9 8 0 0
"144" 0.9 9 0 0
"145" 0.9 10 0 0
"146" 0.9 11 0 0
"147" 0.9 12 0 0
"148" 0.9 13 0 0
"149" 0.9 14 0 0
"150" 0.9 15 0 0
"151" 1 1 0 0
"152" 1 2 0 0
"153" 1 3 0 0
"154" 1 4 0 0
"155" 1 5 0 0
"156" 1 6 0 0
"157" 1 7 0 0
"158" 1 8 0 0
"159" 1 9 0 0
"160" 1 10 0 0
"161" 1 11 0 0
"162" 1 12 0 0
"163" 1 13 0 0
"164" 1 14 0 0
"165" 1 15 0 0
